customer_id,customer_name,customer_city,gender,age,email,join_date
1,"Shabnam Baig",Lahore,Female,34,shabnam492@gmail.com,2023-10-28
2,"Samina Javed",Sialkot,Female,37,samina512@outlook.com,2023-11-29
3,"Zain Pasha",Lahore,Male,37,zain892@yahoo.com,2023-03-11
4,"Farhan Aslam",Gwadar,Male,49,farhan871@gmail.com,2023-12-02
5,"Sobia Gillani",Gwadar,Female,18,sobia212@outlook.com,2023-10-18
6,"Sumaira Aslam",Islamabad,Female,23,sumaira567@hotmail.com,2023-12-04
7,"Waqar Mehmood",Islamabad,Male,30,waqar313@gmail.com,2023-04-27
8,"Iqra Hussain",Lahore,Female,62,iqra6@outlook.com,2023-07-18
9,"Amber Mehmood",Karachi,Female,59,amber933@yahoo.com,2023-09-05
10,"Muhammad Mughal",Lahore,Male,40,muhammad207@outlook.com,2023-04-15
11,"Rabia Yousuf",Karachi,Female,61,rabia568@yahoo.com,2023-05-25
12,"Junaid Mirza",Islamabad,Male,55,junaid828@yahoo.com,2023-01-15
13,"Hamza Mirza",Gwadar,Male,29,hamza710@gmail.com,2023-08-20
14,"Hira Baig",Islamabad,Female,64,hira374@outlook.com,2023-12-28
15,"Uzma Ghani",Karachi,Female,62,uzma328@yahoo.com,2023-03-30
16,"Waseem Gillani",Gwadar,Male,29,waseem951@gmail.com,2023-08-22
17,"Kamran Durrani",Karachi,Male,28,kamran300@outlook.com,2023-04-30
18,"Zain Hashmi",Gwadar,Male,55,zain690@gmail.com,2023-05-19
19,"Fahad Yousuf",Faisalabad,Male,53,fahad296@gmail.com,2023-02-03
20,"Amna Ansari",Karachi,Female,27,amna269@yahoo.com,2023-06-30
21,"Awais Gillani",Sialkot,Male,24,awais536@outlook.com,2023-10-04
22,"Haris Nawaz",Faisalabad,Male,36,haris186@hotmail.com,2023-07-11
23,"Zubair Awan",Gwadar,Male,29,zubair401@hotmail.com,2023-12-05
24,"Junaid Mughal",Faisalabad,Male,26,junaid436@yahoo.com,2023-02-04
25,"Aliza Shah",Lahore,Female,34,aliza388@hotmail.com,2023-03-07
26,"Hassan Awan",Faisalabad,Male,24,hassan519@gmail.com,2023-12-19
27,"Huma Lodhi",Lahore,Female,36,huma915@yahoo.com,2023-10-24
28,"Raza Butt",Sialkot,Male,33,raza64@hotmail.com,2023-11-16
29,"Ahmed Lodhi",Karachi,Male,53,ahmed92@hotmail.com,2023-05-27
30,"Zain Farooqi",Gwadar,Male,19,zain553@gmail.com,2023-03-02
31,"Hassan Ahmed",Faisalabad,Male,63,hassan528@gmail.com,2023-12-04
32,"Kamran Chaudhry",Faisalabad,Male,56,kamran829@yahoo.com,2023-08-28
33,"Zainab Rizvi",Sialkot,Female,36,zainab527@gmail.com,2023-08-17
34,"Zubair Durrani",Gwadar,Male,44,zubair491@outlook.com,2023-04-28
35,"Iqra Sheikh",Sialkot,Female,56,iqra498@yahoo.com,2023-11-22
36,"Tooba Ashraf",Islamabad,Female,41,tooba689@outlook.com,2023-10-15
37,"Awais Mehmood",Faisalabad,Male,50,awais823@yahoo.com,2023-11-19
38,"Maria Abbasi",Gwadar,Female,46,maria572@hotmail.com,2023-06-11
39,"Sadia Chaudhry",Karachi,Female,22,sadia625@hotmail.com,2023-10-29
40,"Sadia Khan",Gwadar,Female,47,sadia33@outlook.com,2023-08-25
41,"Bushra Baig",Karachi,Female,45,bushra144@outlook.com,2023-12-12
42,"Omar Malik",Sialkot,Male,21,omar270@hotmail.com,2023-04-18
43,"Khalid Abbasi",Faisalabad,Male,63,khalid705@outlook.com,2023-03-23
44,"Omar Pasha",Sialkot,Male,30,omar489@gmail.com,2023-09-27
45,"Tahira Shah",Islamabad,Female,28,tahira190@yahoo.com,2023-02-21
46,"Amna Raza",Sialkot,Female,44,amna210@gmail.com,2023-10-13
47,"Adnan Ghani",Islamabad,Male,64,adnan510@yahoo.com,2023-11-11
48,"Sadia Sheikh",Islamabad,Female,33,sadia940@gmail.com,2023-09-30
49,"Ali Mehmood",Lahore,Male,18,ali458@hotmail.com,2023-11-13
50,"Omar Shah",Faisalabad,Male,25,omar402@hotmail.com,2023-03-26
51,"Amna Hashmi",Sialkot,Female,39,amna553@gmail.com,2023-07-05
52,"Zubair Rizvi",Lahore,Male,42,zubair173@outlook.com,2023-09-02
53,"Shabnam Ashraf",Gwadar,Female,31,shabnam977@yahoo.com,2023-02-27
54,"Omar Javed",Sialkot,Male,49,omar490@gmail.com,2023-12-11
55,"Kiran Bhatti",Sialkot,Female,36,kiran728@yahoo.com,2023-08-02
56,"Mehwish Hussain",Faisalabad,Female,60,mehwish78@gmail.com,2023-03-18
57,"Fozia Niazi",Faisalabad,Female,31,fozia734@yahoo.com,2023-12-09
58,"Zain Mirza",Islamabad,Male,53,zain415@outlook.com,2023-08-22
59,"Tooba Rizvi",Lahore,Female,43,tooba42@gmail.com,2023-02-23
60,"Shahid Shah",Gwadar,Male,19,shahid998@yahoo.com,2023-09-03
61,"Mehak Yousuf",Lahore,Female,49,mehak798@hotmail.com,2023-05-29
62,"Zain Zafar",Islamabad,Male,45,zain625@hotmail.com,2023-05-02
63,"Fatima Bhatti",Faisalabad,Female,23,fatima636@yahoo.com,2023-11-16
64,"Bushra Akram",Sialkot,Female,20,bushra878@hotmail.com,2023-10-12
65,"Awais Aslam",Gwadar,Male,53,awais705@hotmail.com,2023-07-20
66,"Adeel Mehmood",Karachi,Male,18,adeel998@hotmail.com,2023-11-06
